Id,Def,IDword,,,
3474,"3. Наклонная поверхность, спуск, склон",2244,,,
3475,"4. Часть здания, сооружения, служащая для спуска вниз; нижний уровень здания",2244,,,
3476,5. Переправа,2244,,,
3477,"6. То, что находится внизу, на земле",2244,,,
3478,"7. Перен. Склонность, расположение к чему",2244,,,
3479,8. Уход,2244,,,
3480,"9. Конец, исход",2244,,,
3481,10. Закат (солнца),2244,,,
3482,11. Излишек,2244,,,
3483,"12. Дополнительное к основной плате за работу съестное довольствие, льготное кормление",2244,,,
3484,1. Сближение. (1491),2245,,,
3485,"2. Соединение, сочетание",2245,,,
3486,"3. Стечение, схождение (людей)",2245,,,
3487,4. Схождение (на середину церкви) певцов обоих клиросов во время пения катавасии,2245,,,
3488,5. Встреча (для обсуждения каких,2245,,,
3489,"6. Соединение, воинский сбор (для проведения военных операций)",2245,,,
3490,"7. Военное столкновение, битва, схватка",2245,,,
3491,8. Соглашение,2245,,,
3492,9. Расположение,2245,,,
3493,"à Сходъ ложа – половая связь, соитие",2245,,,
3494,Вм. всходъ. 1.,2246,,,
3495,2. Восход,2246,,,
3496,"Добыть, снискать",2247,,,
3497,"/i>1. Помощник, пособник",2248,,,
3498,2. Посредник,2248,,,
3499,3. Сторонник. ,2248,,,
3500,Посредничество,2249,,,
3501,Участие (?),2250,,,
3502,"1. Обращаться с прошением, просить за кого",2251,,,
3503,2. Добывать,2251,,,
3504,"Выходец, пришелец из другого места",2252,,,
3505,Символически (?),2253,,,
3506,Находясь по соседству,2254,,,
3507,"Снисходительный, великодушный",2255,,,
3508,"1. Граничащий, находящийся по соседству",2256,,,
3509,2. Соответствующий,2256,,,
3510,"3. Склонный, расположенный (к чему-л.)",2256,,,
3511,4. Парный (о согласных звуках),2256,,,
3512,"1. Склонность, расположение (к чему-л.)",2257,,,
3513,2. Уступка,2257,,,
3514,"1. Двигаясь вниз, спускаться куда",2258,,,
3515,"2. Образно и перен. Нисходить, спускаться (О Святом Духе, ангелах и др.)",2258,,,
3516,"3. Доходить, спускаться (об одежде, головном уборе)",2258,,,
3517,"4. Снисходить, проявлять снисхождение, великодушие по отношению к чему",2258,,,
3518,"5. Проявлять склонность, расположение (к чему-л.)",2258,,,
3519,6. Оставлять какое,2258,,,
3520,"7. Что. Обходить, наблюдая с разведывательной целью",2258,,,
3521,8. Происходить. (990),2258,,,
3522,"9. Исчезать, таять (о снеге, граде)",2258,,,
3523,"10. Стоить, продаваться по какой",2258,,,
3524,"à Не сходитъ съ сердца (что-л.) – о постоянном воспоминании, мыслях (о чем-л.)",2258,,,
3525,Отправиться куда,2259,,,
3526,1. Соединяться,2260,,,
3527,2. Сближаться (для совместных действий),2260,,,
3528,3. Соглашаться,2260,,,
3529,4. Собираться,2260,,,
3530,5. Набираться (при денежных подсчетах),2260,,,
3531,"6. Подходить, годиться, быть пригодным",2260,,,
3532,"7. Кого. Собирать, сводить вместе",2260,,,
3533,Вм. всходити,2261,,,
3534,"1. Сходиться, собираться вместе, в одно место (для осуществления совместных действий). (851)",2262,,,
3535,2. Встречаться с кем,2262,,,
3536,3. Сходиться для боя, вступать в бой,2262,,
3537,4. Вступать в половые отношения,2262,,,
3538,"5. Сближаться, приближаться друг к другу. (1491)",2262,,,
3539,6. Соединяться,2262,,,
3540,"7. Собираться, скапливаться. (969)",2262,,,
3541,"8. Оказываться одинаковым, совпадать",2262,,,
3542,"9. Соглашаться, быть того же мнения",2262,,,
3543,10. На что. Иметь склонность к чему,2262,,,
3544,11. Набираться (при денежых подсчетах),2262,,,
3545,12. Расходоваться,2262,,,
3546,Вм. всходитися,2263,,,
3547,"Часть здания, сооружения, служащая для спуска вниз. ",2264,,,
3548,"1. То, что осталось или накопилось (зд. о не использованной во время трапезы пище)",2265,,,
3549,2. Мн. Отходы (зд. о плавке и обработке металла),2265,,,
3550,Соответственно, сходным образом,2266,,
3551,"1. Путешественник, скиталец. (1380)",2267,,,
3552,"2. Лазутчик, соглядатай",2267,,,
3553,3. Перебежчик,2267,,,
3554,4. Название книги о паломничестве в Святую землю (Проскини­та­рий),2267,,,
3555,Спутник,2268,,,
3556,/i>1. В качестве дополнительной платы,2269,,,
3557,2. Калькированная передача греч. ,2269,,,
3558,1. Предназначенный для спуска,2270,,,
3559,"2. Снисходительный, великодушный",2270,,,
3560,1. Относящийся к собранию членов общины для обсуждения мирских нужд,2271,,,
3561,"2. Подобный, похожий",2271,,,
3562,"3. Совпадающий, согласующийся (с чем-л.)",2271,,,
3563,"4. Подходящий, пригодный, приемлемый",2271,,,
3564,"5. Дополнительный, т. е. являющийся дополнительным продуктовым довольствием работнику помимо основной платы (?)",2271,,,
3565,"à Сходный воевода – воевода, временно оставивший место своей постоянной службы для участия в военных действиях или в походе во главе вверенного ему военного соединения и в составе более крупной группы войск",2271,,,
3566,"1. Доска с набитыми брусками для спуска, перехода (обычно для схода с судна на берег).2",2272,,,
3567,"2. То же, что сходка&sup&1&sup& (в знач. 1)",2272,,,
3568,(?),2273,,,
3569,Излишек, остаток,2274,,
3570,"1. Склонность, наклонность к чему",2275,,,
3571,"2. Должная мера, соразмерность",2275,,,
3572,3. Дружеская близость,2275,,,
3573,4. Встреча и общение с кем,2275,,,
3574,"5. Согласие, единство или сближение мнений",2275,,,
3575,"Сходный, похожий",2276,,,
3576,"Выходец из тех же мест, земляк",2277,,,
3577,"1. Движение сверху вниз, спуск",2278,,,
3578,"2. Наклонная поверхность, спуск; зд. лестница",2278,,,
3579,3. Снисхождение,2278,,,
3580,4. Уничижение,2278,,,
3581,"5. Уход, оставление (чего-л.)",2278,,,
3582,1. Соединение,2279,,,
3583,2. Совместная жизнь,2279,,,
3584,3. Общение,2279,,,
3585,4. Посредничество,2279,,,
3586,Вм. всхождение,2280,,,
3587,"1. То же, что схождение&sup&1&sup& (в знач. 1)",2281,,,
3588,2. Снисхождение,2281,,,
3589,/i>1. Слияние,2282,,,
3590,2. Соитие (о половых отношениях),2282,,,
3591,3. Общение. ,2282,,,
3592,4. Сближение (о небесных телах),2282,,,
3593,5. Передача греч. ,2282,,,
3594,(?),2283,,,
3595,"Пришлый, нездешний",2284,,,
3596,"1. То же, что сходный&sup&2&sup& (в знач. 1)",2285,,,
3597,2. Относящийся к сбору воинских формирований,2285,,,
3598,"3. Знакомый, находящийся в общении с кем",2285,,,
3599,"4. То же, что сходный&sup&2&sup& (в знач. 4)",2285,,,
3600,5. (?),2285,,,
3601,"à Схожий воевода – то же, что",2285,,,
3602,Ученик (ср. лат. scholar),2286,,,
3603,Стражник дворцовой охраны (ср. греч. σχολάριος),2287,,,
3604,"Схоластик, ученый муж; учитель (ср. греч. σχολαστικός)",2288,,,
3605, (ср. греч. σχολή),2289,,,
3606,"Место для бесед и обучения, школа (ср. греч. σχολεῖον)",2290,,,
3607,Относящийся к дворцовой страже,2291,,,
3608,"1. Скрыть, спрятать. (971)",2292,,,
3609,"2. Совершить обряд погребения, похоронить",2292,,,
3610,3. Сохранить,2292,,,
3611,"Спрятаться, укрыться",2293,,,
3612,Желание,2294,,,
3613,Моча,2298,,,
3614,Действие по глаг. сцати,2299,,,
3615,"Мочиться, испускать мочу",2301,,,
3616,"Особо, наедине",2302,,,
3617,Единый,2303,,,
3618,Слить,2304,,,
3619,"Отстой, осадок, то, что остается после сцеживания",2305,,,
3620, Приспособление для сцепления чего,2306,,,
3621,"В соединении, соединительно (о ряде однородных членов предложения)",2307,,,
3622,"1. Соединить, сцепить; зд. перен",2308,,,
3623,2. Перен. Опутать (чем-л.),2308,,,
3624,"Схватиться, сойтись с кем",2309,,,
3625,Соединение,2310,,,
3626,"Соединять, сцеплять, прикреплять; зд. перен",2311,,,
3627,"1. Сплошной, идущий цепью",2312,,,
3628,2. Сцепленный (?),2312,,,
3629,"Погубить чарами, извести ворожбой (ср. польск. zczarować)",2314,,,
3630,"2. Участь, судьба",2314,,,
3631,3. Благоденствие,2314,,,
3632,"4. Участие, помощь",2314,,,
3633,"Удачно, успешно",2315,,,
3634,"Успешно, удачно, благополучно",2316,,,
3635,"1. Благополучие, счастье. ",2317,,,
3636,"2. Блаженство, праведность",2317,,,
3637,"Благополучие, счастье. ",2318,,,
3638,"1. Счастливый, благоденствующий, благополучный",2319,,,
3639,"2. Удачливый, такой, которому сопутствует успех",2319,,,
3640,"3. Способствующий удаче, успеху",2319,,,
3641,"То же, что счастливо",2320,,,
3642,(ср. польск. szczęstny). 1.,2321,,,
3643,"2. То же, что счастливый (в знач. 2)",2321,,,
3644,"1. То же, что счастие (в знач. 1)",2322,,,
3645,"2. То же, что счастие (в знач. 2)",2322,,,
3646,"3. Стечение обстоятельств, случай (?)",2322,,,
3647,"Группа, объединение лиц или предметов",2323,,,
3648,"1. То же, что сочетатися (в знач. 1)",2324,,,
3649,"2. То же, что сочетатися (в знач. 8)",2324,,,
3650,Цепенеть от ужаса (ср. родств. индоевр. ,2326,,,
3651,Имеющий вид цепи,2327,,,
3652,"С черновика, с черновой записи",2328,,,
3653,Налить,2330,,,
3654,"Счерпывать, набирать черпанием (что",2331,,,
3655,Описать,2332,,,
3656,"Остатки льняных нитей после прочесывания льна, пригодные для изготовления грубой пряжи и веревки",2333,,,
3657,"B> СЧИСТИ, сочту. 1. Сосчитать, подсчитать",2334,,,
3658,2. Засчитать (одно вместо другого),2334,,,
3659,3. Кого. Проверить чьи,2334,,,
3660,à Отечество (въ отечествѣ) счести – высчитать унаследованное  от предков  отношение  по  службе служилого лица и целой служилой фамилии к другим служилым лицам и фамилиям ,2334,,,
3661,Прочитать,2335,,,
3662,"B>&sup& &sup&СЧИСТИСЯ, сочтуся. 1. Произведя подсчет, рассчитаться; расплатиться",2336,,,
3663,2. Подсчитать (между собой),2336,,,
3664,3. Отчитаться в расходах,2336,,,
3665,4. В чем и без доп. Договориться (о чем-л.),2336,,,
3666,"à Счестися о отечествѣ– посчитаться предками, т. е. высчитать унаследованное от предков отношение по службе служилого лица и целой служилой фамилии к другим служилым лицам и фамилиям ",2336,,,
3667,"Соединиться, причислиться",2337,,,
3668,1. Действие по глаг. счести&sup&1&sup& (в знач. 1),2338,,,
3669,2. Общее количество,2338,,,
3670,"3. Рассмотрение, разбор дела",2338,,,
3671,4. Документальная запись подсчетов или счетный документ,2338,,,
3672,"5. То же, что счеты",2338,,,
3673,à Счетъ въ (о) отечествѣ – высчитывание унаследованного от предков отношения по службе служилого лица и целой служилой фамилии к другим служилым лицам  и фамилиям. (1550),2338,,,
3674,Иметь общение с кем,2339,,,
3675,Сочинение,2340,,,
3676,"Относящийся к разного рода подсчетам, измерениям и т. п. ",2343,,,
3677,"Расчет, исчисление",2344,,,
3678,"Лицо, производящее проверку счетов, расходов",2345,,,
3679,"Приспособление для арифметического счета в виде четырехугольной рамки с поперечными прутиками, на которых нанизаны подвижные косточки",2346,,,
3680,Вм. всчинъ (в знач. 2),2347,,,
3681,Вм. всчинати (в знач. 2),2348,,,
3682,Вм. всчинатися,2349,,,
3683,"1. Сонм, чин",2350,,,
3684,"2. Составление, соединение",2350,,,
3685,3. Состав. ,2350,,,
3686,"4. Творение, сочинение",2350,,,
3687,5. Распоряжение,2350,,,
3688,6. Измышление,2350,,,
3689,Согласование,2351,,,
3690,1. Соединить,2352,,,
3691,2. Составить,2352,,,
3692,"3. Сделать, устроить, совершить. (1035)",2352,,,
3693,"4. Установить, определить; предписать, повелеть",2352,,,
3694,"5. Сделать, изготовить",2352,,,
3695,à Силу счинити – применить силу. (1035),2352,,,
3696,"1. Соединиться, собраться вместе. ",2353,,,
3697,"2. Произойти, случиться",2353,,,
3698,"То же, что счинъ",2354,,,
3699,"/i>1. Порядок, устроение",2356,,,
3700,2. Калькированный перевод греч. ,2356,,,
3701,1. Соединять (1160),2357,,,
3702,"2. С кем, кому. Причислять к кому",2357,,,
3703,"3. Создавать, сочинять. (1019)",2357,,,
3704,4. Устанавливать (?),2357,,,
3705,à Вѣстно счиняти – сообщать,2357,,,
3706,"[СЧИСЛЕНИЕ] и СОЧИСЛЕНИЕ, с. Перечисление, перечень",2358,,,
3707,Участвующий в голосовании на одной стороне с кем,2359,,,
3708,"1. Вести счет, считать",2360,,,
3709,2. С кем. Причислять к кому,2360,,,
3710,Полностью,2361,,,
3711,"Почистить, привести в порядок",2363,,,
3712,"Связывать, соединять",2364,,,
3713,Сочетание (зд. слов),2365,,,
3714,Счет. ,2366,,,
3715,"1. Считать, подсчитывать",2367,,,
3716,2. Исчислить (с чего-л.),2367,,,
3717,3. Делать перепись,2367,,,
3718,"4. Отсчитывать, вести счет (с какого",2367,,,
3719,5. Кого. Проверять чьи,2367,,,
3720,"6. Следить, (мысленно) отмечать",2367,,,
3721,1. Насчитываться,2368,,,
3722,2. Пересчитывать друг друга,2368,,,
3723,"3. Производить расчет, рассчитываться",2368,,,
3724,"4. Сводить счеты, спорить, ссориться",2368,,,
3725,5. Сопоставлять знатность происхождения (для получения соответствующего общественного положения),2368,,,
3726,"6. С чем. Считаться, принимать во внимание что",2368,,,
3727,"7. Числиться, значиться",2368,,,
3728,◊ Считатися (между собою) по очередямъ – соблюдать очередность,2368,,,
3729,"То же, что счисление",2369,,,
3730,Отсчитывать,2370,,,
3731,"Снимать с поверхности, очищая",2371,,,
3732,Действие по глаг. счистити,2372,,,
3733,1. Узнать. (1035),2375,,,
3734,2. Уличать (?),2375,,,
3735,Приобщение к чему-л. иному (зд. к небесной жизни),2376,,,
3736,Узнать. (1070),2377,,,
3737,Прийти в себя. ,2378,,,
3738,"Пошептать, произнести (что-л.)",2380,,,
3739,Сгонять в одно место. (1099),2382,,,
3740,Ударяться. (1555),2383,,,
3741,Стычка,2384,,,
3742,Процесс изготовления стругов,2387,,,
3743,"Предназначенный для скрепления, соединения",2388,,,
3744,"1. Соединять, скреплять, сшивать (ниткой, корой, гвоздями и т. п.)",2389,,,
3745,2. Шить (об одежде),2389,,,
3746,3. Чинить (разорванное),2389,,,
3747,4. В сочетании с рядом существительных означает: совершать действие по знач. сущ,2389,,,
3748,1. Действие по гл. сшивати (в знач. 1),2390,,,
3749,"2. Сшитый мешок, тара для рыбы (?)",2390,,,
3750,"То же, что сшивальный",2391,,,
3751,"То же, что сшивальный",2392,,,
3752,"1. Сшить, соединить, скрепить; тж. перен",2394,,,
3753,"2. Сшить (об одежде, обуви). (986)",2394,,,
3754,3. Починить (разорванное или распоротое),2394,,,
3755,4. В сочетании с рядом существительных означает: совершить действие по знач. сущ,2394,,,
3756,"b>сшибу. 1. Силой, ударом заставить упасть; сбить. (1401)",2395,,,
3757,2. Ударом повредить,2395,,,
3758,3. Ударом отсечь,2395,,,
3759,Сложить,2396,,,
3760,Шитье, зд,2397,,
3761,"b>сшибуся. Сойтись в схватке, вступить в бой. (1174)",2398,,,
3762,"Одежда, произведенная путем сшивания иных шитых изделий",2399,,,
3763,Изодрать (?),2408,,,
3764,"1. Уничтожать; перен. портить, повреждать. ",2424,,,
3765,"2. Изводить придирками, упрекать, обижать. ",2424,,,
3766,/i>1. Съедение. ,2425,,,
3767,2. Кусание. ,2425,,,
3768,Кусачий (о животном),2428,,,
3769,"Соединение, союз (ср. польск. zjednanie)",2429,,,
3770,Предназначенный для еды. ,2430,,,
3771,/i>1. Предназначенный для еды. ,2431,,,
3772,2. Съедобный (?),2431,,,
3773,/i>1. Отъезд. ,2435,,,
3774,2. Спуск. ,2435,,,
3775,◊ Съѣздъ съ жалованья – уход с должности,2435,,,
3776,"/i>1. Съезд, собрание, встреча (с деловой целью).(1348)",2436,,,
3777,"2. Торг, ярмарка",2436,,,
3778,◊ Съѣзду нѣтъ межъ собя – об отсутствии связи друг с другом,2436,,,
3779,1. Съездить куда,2438,,,
3780,2. Уехать откуда,2438,,,
3781,"Съезжаться, сближаться для боя. (1169)",2439,,,
3782,/i>1. Относящийся к съезду (см. съѣздъ&sup&2&sup&,2440,,,
3783,"2. Приехавший на торг, ярмарку (см. съѣздъ&sup&2&sup&",2440,,,
3784,◊ Съѣздный бой – ближний бой. ,2440,,,
3785,"Уезжать, выезжать. ",2441,,,
3786,"◊ Съѣзжати съ службы – уходить со службы, переставать выполнять должностные обязанности",2441,,,
3787,Встречать. ,2442,,,
3788,◊ Миръ съѣзжати – собираться для заключения мира,2442,,,
3789,"1. Съезжаться на съезд, встречу (с деловой целью)",2443,,,
3790,2. Встречаться. ,2443,,,
3791,3. Сближаться для конного боя, съезжаться в схватке. (1380),2443,,
3792,4. (?),2443,,,
3793,1. Проезжать,2444,,,
3794,"/i>1. Используемый для осуществления общих дел, проведения собраний, встреч (см. съѣздъ",2446,,,
3795,"2. Приехавший из другого места, приезжий",2446,,,
3796,3. Относящийся к кавалерийскому оружию,2446,,,
3797,"/i>1. Снос, убирание (?)",2447,,,
3798,"2. Сбор урожая, жатва. ",2447,,,
3799,"4. То же, что снемъ&sup&2&sup&",2447,,,
3800,◊Съемъ денежной– (?),2447,,,
3801,"То же, что снемъ&sup&1&sup& (в знач. 1)",2448,,,
3802,◊ Въ съемѣ – о совместном выполнении обязательств,2448,,,
3803,Отделяемый от целого. ,2449,,,
3804,Рукопашный. ,2450,,,
3805,◊ Съемная запись – документ о совместном выполнении обязательств. ,2450,,,
3806,"/i>Съѣственный запасъ – то же, что",2451,,,
3807,"Блюдо, кушанье",2452,,,
3808,"1. Съесть, употребить в пищу. ",2454,,,
3809,2. Морально уничтожить (о человеке),2454,,,
3810,"◊ Съѣсти деньги – израсходовать деньги на еду, проесть. ",2454,,,
3811,Быть съеденным,2455,,,
3812,] и СЪЯСТИСЯ&sup&2&sup&. Сцепиться в драке. ,2456,,,
3813,"/i>Съѣстной запасъ – продукты, употребляемые в пищу, съестные запасы",2457,,,
3814,"1. Уехать, выехать. (1259)",2458,,,
3815,"2. Спуститься, съехать вниз. (1232)",2458,,,
3816,◊ Съѣхати въ сторону– свернуть и потерять дорогу. (1548),2458,,,
3817,"Догнать, настигнуть, обнаружить, встретить. ",2459,,,
3818,"1. Съехаться, собраться в одном месте. (1218)",2460,,,
3819,2. Встретиться. ,2460,,,
3820,3. Съехаться в схватке. (1151),2460,,,
3821,"То, что съедено",2485,,,
3822,"1. То же, что сняти&sup&1&sup& (в знач. 3)",2486,,,
3823,"2. То же, что сняти&sup&1&sup& (в знач. 5)",2486,,,
3824,"3. То же, что сняти&sup&1&sup& (в знач. 7)",2486,,,
3825,4. Перевести на кого,2486,,,
3826,◊ Съяти съ Бога надежю – отказаться от надежды на Бога,2486,,,
3827,Удаление,2487,,,
3828,"1. То же, что снятися&sup&2&sup& (в знач. 2)",2489,,,
3829,"2. Слиться, стечься",2489,,,
3830,"Жидкий отстой после створожения молока или сливок, водная составляющая молока. ",2491,,,
3831,"b>СЪИГРАТИ, сов. к играти",2492,,,
3832,"], прил. Старый, надежный. ",2494,,,
3833,"Снова, опять, еще раз. ",2496,,,
3834,"То же, что снимальникъ&sup&1&sup&",2500,,,
3835,Действие по глаг. сымати (в знач. 1),2501,,,
3836,"b> СЪИМАТИ, съемлю и сымаю. 1. То же, что снимати&sup&1&sup& (в знач. 3)",2502,,,
3837,"2. Срезáть, удалять",2502,,,
3838,"3. Снимать (одежду) насильственно, отнимать, забирать",2502,,,
3839,"4. То же, что снимати&sup&1&sup& (в знач. 4)",2502,,,
3840,"5. То же, что снимати&sup&1&sup& (в знач. 5)",2502,,,
3841,"6. О судне: снимать (с мели, подводных камней)",2502,,,
3842,"7. То же, что снимати&sup&1&sup& (в знач. 8)",2502,,,
3843,"8. То же, что снимати&sup&1&sup& (в знач. 10)",2502,,,
3844,◊ (Не) сымати съ воли – (не) отнимать право волеизъявления,2502,,,
3845,&sup&1&sup&. Страд. к сымати (в знач. 8),2503,,,
3846,"&sup&2&sup&, СЪИМАТИСЯ. Сходиться, соединяться. (1341)",2504,,,
3847,"То же, что сымати (в знач. 1)",2506,,,
3848,1. Сын,2507,,,
3849,2. Бог,2507,,,
3850,3. Детеныш или птенец (самец),2507,,,
3851,4. Обозначение младшего по возрасту или положению,2507,,,
3852,"5. Чаще мн. Потомок, член рода, племени, народа (обычно с определением, содержащим имя предка, название местности, народа и т. п.)",2507,,,
3853,Башня,2508,,,
3854,"То же, что сыновство (в знач. 2)",2510,,,
3855,Относящийся к сыну. ,2511,,,
3856,Маленький сын,2512,,,
3857,", и СЫНИШКА, м. Уменьш. и уменьш",2513,,,
3858,Относящийся к башне ,2514,,,
3859,1. Племянник,2517,,,
3860,2. Двоюродный брат. ,2517,,,
3861,"Дочь брата, племянница. (1281)",2518,,,
3862,Усыновление, зд. перен. о соединении и общении верущих с Богом и даровании им вечной жизни как божественного наследства. ,2519,,
3863,"1. Принадлежащий, относящийся к сыну, сыновний. ",2520,,,
3864,2. Относящийся к Богу,2520,,,
3865,"То же, что сыновецъ (в знач. 1). (1093)",2521,,,
3866,1. Образно. Как сын,2523,,,
3867,2. Подобно Богу,2523,,,
3868,"1. Состояние, положение сына. ",2524,,,
3869,2. Cостояние и свойства Бога,2524,,,
3870,3. О состоянии верующего человека как сына Божия,2524,,,
3871,4. Статус младшего по отношению к старшему в иерархических отношениях,2524,,,
3872,"То же, что сыновецъ (в знач. 1)",2525,,,
3873,"Сын, сынок (о маленьком мальчике). (1067)",2526,,,
3874,"Как подобает сыну, по",2527,,,
3875,"То же, что сынолѣпнѣ",2528,,,
3876,Сынолюбивый,2529,,,
3877,В соответствии с понятием сынотецъ,2530,,,
3878,Усыновляться (о возведении верующего человека в достоинство сына Божия, ср. греч. υἱοθετέω),2532,,
3879,"Состояние, положение сына (о состоянии верующего человека как сына Божия)",2533,,,
3880,"Рождение свыше, возводящее верующего человека в достоинство сына Божия (зд",2534,,,
3881,"То же, что сынопорождение",2535,,,
3882,Усыновление. ,2537,,,
3883,Усыновление (о возведении верующего человека в достоинство сына Божия),2538,,,
3884,Передача греч,2539,,,
3885,"То же, что сынотворение",2540,,,
3886,"/i>Духъ сынотворства – то же, что",2541,,,
3887,Согласно учению монтанистов (II в.),2542,,,
3888,"Маленький сын, сыночек",2543,,,
3889,"/i>1. То же, что сыновство (в знач. 1)",2544,,,
3890,"2. То же, что сыновство (в знач. 2)",2544,,,
3891,"] ?, м. Маленький сын",2546,,,
3892,Уменьш,2547,,,
3893,зват. ф. Уменьш,2549,,,
3894,Уменьш,2550,,,
3895,Уменьш,2551,,,
3896,1. Действие и результат действия по глаг. сыпати&sup&1&sup& (в знач. 1),2552,,,
3897,2. Действие по глаг. сыпати&sup&1&sup& (в знач. 5),2552,,,
3898,"1. Сыпать, высыпáть (на поверхность)",2553,,,
3899,2. Всыпáть (во что,2553,,,
3900,"3. Рассыпáть, разбрасывать, раскидывать (о чем",2553,,,
3901,"4. Опорожнять, высыпая содержимое",2553,,,
3902,"5. Осыпáть, забрасывать (кого-л. чем-л.)",2553,,,
3903,"6. Насыпáть, сооружать. (988)",2553,,,
3904,Многокр. к спати,2554,,,
3905,1. Сыпаться (откуда-л.),2555,,,
3906,"2. Осыпáться, рассыпáться",2555,,,
3907,"3. Насыпáться, засыпáться",2555,,,
3908,4. Разлетаться,2555,,,
3909,"5. Лететь, обрушиваться (непрерывно, во множестве). (1237)",2555,,,
3910,Участник ссыпной братчины (?),2556,,,
3911,Помещение для хранения зерна,2557,,,
3912,Сыпучий,2558,,,
3913,"То же, что сипль",2559,,,
3914,"1. Мелкий, зернистый",2561,,,
3915,"2. Имеющий осыпи, обрывистый, крутой",2561,,,
3916,1. С отрицанием. Сыпать,2562,,,
3917,2. Рассыпáть низаный узор,2562,,,
3918,С отрицанием. Спать,2563,,,
3919,Слой чего,2564,,,
3920,"1. Твердый или полутвердый пищевой продукт, приготовленный путем сквашивания молока и дальнейшей его обработки; сыр или творог. ",2565,,,
3921,"2. Мера объема и счетная единица твердых продуктов (кусок, ком, круг)",2565,,,
3922,◊ Сыръ краяти за дѣву (дѣвку) – договариваться о свадьбе во время обрядового застолья. ,2565,,,
3923,ескл,2566,,,
3924,"То же, что сырейщикъ",2567,,,
3925,"b> СЫРЕННЫЙ, прил",2568,,,
3926,"Человек, скупавший сырые кожи",2569,,,
3927,Увлажненный (?),2571,,,
3928,Молодеть. ,2572,,,
3929,"1. Продукт, материал, не подвергшийся обработке или не полностью обработанный, до конца не выделанный",2573,,,
3930,2. Четырехугольная или квадратная дощечка для настилки паркета (ср. ,2573,,,
3931,Небольшой круг сыра или творога. ,2574,,,
3932,"&sup&3&sup&, м. Вид лосося (?) (ср. диал. сырок, с",2575,,,
3933,"Сырая, невыделанная кожа. ",2576,,,
3934,1. Желудок. ,2577,,,
3935,2. Желудочная кислота,2577,,,
3936,"Относящийся к желудку, желудочный. ",2578,,,
3937,Блюдо из творога и яиц, сырник. ,2579,,
3938,Сырые дрова. ,2580,,,
3939,Кисломолочные продукты ,2581,,,
3940,"1. Относящийся к творогу, приготовленный из творога или с творогом. ",2582,,,
3941,2. Относящийся к масленице (последней неделе перед Великим постом),2582,,,
3942,"◊ Сырные губки – чага, нарост на стволе дерева (?)",2582,,,
3943,В сыром виде. ,2583,,,
3944,Сыворотка (ср. укр. ,2584,,,
3945,"], с. Несварение желудка. ",2585,,,
3946,"Жестокий, суровый. ",2586,,,
3947,"1. Сырой; сильно увлажненный, насыщенный влагой. ",2587,,,
3948,"2. Свежий, молодой, зеленый; невысохший (не лишенный живых, питательных соков, свежести, гибкости и т. п.)",2587,,,
3949,3. Невысушенный (о зерне),2587,,,
3950,"4. Не прошедший специальной обработки (по отношению к естественной породе, природному или произведенному из природного сырья продукту)",2587,,,
3951,"5. Невареный, непеченый и т. п",2587,,,
3952,"6. Рыхлый, тучный (о человеке)",2587,,,
3953,"◊ Сыра(я) матера(я) земля – в фольклоре: об увлажненной плодородной земле как о первоначальной животворящей силе, олицетворяющей связь с родной природой, мать сыра",2587,,,
3954,"Обмолоченный наскоро, без овинной сушки (о зерне)",2588,,,
3955,"То же, что сыробоемъ",2589,,,
3956,"Ремесленник, который выделывает сыромятные кожи. ",2590,,,
3957,Относящийся к сыромятнику. ,2591,,,
3958,"1. Сыромятный, выделанный без дубления, посредством вымачивания сырой кожи в извести (для удаления шерсти)",2592,,,
3959,2. Относящийся к выделке сыромятных кож и изделиям из них,2592,,,
3960,3. Изготовленный из сыромятной кожи,2592,,,
3961,"4. В знач. сущ. Сыромятное, с. Изготовление сыромятных кож, обработка кож сыромятным способом",2592,,,
3962,1. Сыромятная кожа. ,2593,,,
3963,2. Сыромятная выделка кожи. ,2593,,,
3964,Относящийся к масленице (последней неделе перед Великим постом),2596,,,
3965,Резание по живому. ,2597,,,
3966,"Толстый, тучный. ",2598,,,
3967,"1. Сырость, влажность. ",2599,,,
3968,"2. Жидкость, содержащаяся в растениях; сок. ",2599,,,
3969,"3. То же, что сыровство",2599,,,
3970,Относящийся к сыроделанию,2600,,,
3971,"То же, что сыротвореный",2601,,,
3972,"Последователь ереси, являющейся разновидностью монтанизма; название происходит от приношения в жертву хлеба и сыра, которые, по мнению еретиков, у первых людей были дарами земли и овец",2602,,,
3973,Употребление в пищу творога и других молочных продуктов. ,2603,,,
3974,"Тот, кто употребляет в пищу сырое мясо; тж. перен. о жестоком, кровожадном человеке. ",2604,,,
3975,Сыроястная недѣля – масленица (последняя неделя перед Великим постом),2606,,,
3976,Приготовленный из рыбы сырти. ,2607,,,
3977,"Сырть, иначе рыбец, подуст, vimba. ",2608,,,
3978,"То же, что сиропъ",2609,,,
3979,Относящийся к сырцу (необработанному продукту),2610,,,
3980,"Четырехугольный (ср. Даль IV, СРНГ)",2611,,,
3981,бир. 1.,2612,,,
3982,2. Свеженарубленные дрова. ,2612,,,
3983,"/i>1. Розыск, поиск",2613,,,
3984,"2. Дознание, расследование (предполагающее обращение к документам, опрос свидетелей, допрос подозреваемых)",2613,,,
3985,"3. Документ, в котором изложены результаты проведенного разыскания или расследования",2613,,,
